99;Czy w tej sytuacji masz obowiązek zatrzymać pojazd?;;;;T;AK_D05_06_org.mp4;PODSTAWOWY;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W16
100;Czy w tej sytuacji masz obowiązek zatrzymać pojazd?;;;;T;AK_D10_30_org.mp4;PODSTAWOWY;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W16
109;Czy w przedstawionej sytuacji masz prawo kontynuować jazdę?;;;;N;AK_D11_43org.mp4;PODSTAWOWY;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W9
110;Czy w przedstawionej sytuacji masz prawo - mimo podawanego sygnału - skręcić w prawo?;;;;N;AK_D11_45org.mp4;PODSTAWOWY;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W9
290;Jaką odległość należy zachować między jadącymi kolumnami samochodów ciężarowych?;Nie mniejszą niż 800 metrów.;Nie mniejszą niż 500 metrów.;Nie mniejszą niż 200 metrów.;B;;SPECJALISTYCZNY;3;C;C4
293;Kierujesz samochodem ciężarowym. Który z wymienionych czynników jesteś zobowiązany uwzględnić, aby zachować bezpieczny odstęp od poprzedzającego pojazdu?;Prędkość pojazdów.;Moc silnika.;Szerokość pojazdów.;A;;SPECJALISTYCZNY;3;C;C4
352;Czy na jezdni oznaczonej tym znakiem wolno Ci zawrócić?;;;;N;IMG_4251orgbm.jpg;PODSTAWOWY;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W3
469;Czy w tej sytuacji powinieneś oczekiwać, że następnym sygnałem będzie światło zielone?;;;;T;3106D15_a_org.jpg;PODSTAWOWY;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W5
475;Czy w tej sytuacji wolno Ci skręcić w prawo bez zatrzymania się przed sygnalizatorem?;;;;N;0118D14MM_a_org.jpg;PODSTAWOWY;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W5
477;Czy w tej sytuacji sygnał świetlny nadawany dla Twojego pasa ruchu zezwala Ci na zawracanie?;;;;N;2064D14MM_a_org.jpg;PODSTAWOWY;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W5
478;Czy w tej sytuacji nadawany sygnał świetlny oznacza, że podczas jazdy w prawo nie występuje kolizja z innymi uczestnikami ruchu?;;;;T;066D16_a_org.jpg;PODSTAWOWY;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W5
480;Czy w tej sytuacji nadawany sygnał świetlny zezwala Ci na wjazd za sygnalizator?;;;;N;IMG_0325_9550d5_a_org.jpg;PODSTAWOWY;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W5
481;Czy w tej sytuacji widoczny dla Twojego pasa ruchu sygnał świetlny zezwala Ci na zawracanie?;;;;T;117D16_a_org.jpg;PODSTAWOWY;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W5
486;Czy w tej sytuacji wolno Ci skręcić w prawo, jeśli nie spowodujesz tym utrudnienia ruchu?;;;;N;0084D18_a_org.jpg;PODSTAWOWY;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W5
544;Czy w tej sytuacji wolno Ci zmienić zajmowany pas ruchu, gdy zamierzasz jechać na wprost?;;;;T;IMG_9324_org.jpg;PODSTAWOWY;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
589;Czy na tej drodze możesz spodziewać się rowerzystów nadjeżdżających z przeciwka?;;;;T;4152D15Xorg.jpg;PODSTAWOWY;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W3
591;Czy w tej sytuacji wolno Ci wjechać na pas ruchu po lewej stronie?;;;;N;4170D15_a_org.jpg;PODSTAWOWY;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
595;Czy ten znak poziomy wyznacza miejsce bezwzględnego zatrzymania się, nawet w sytuacji, gdy z żadnej ze stron nie nadjeżdża pojazd?;;;;T;D16_01_org.mp4;PODSTAWOWY;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
599;"Czy w tej sytuacji widoczna linia przerywana wyznacza Ci miejsce zatrzymania w związku ze znakiem ""stop""?";;;;N;D16_05_org.mp4;PODSTAWOWY;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
600;"Czy ta linia ciągła wyznacza Ci miejsce zatrzymania pojazdu w związku ze znakiem ""stop""?";;;;T;D16_06_org.mp4;PODSTAWOWY;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
609;Czy w tej sytuacji, przy zawracaniu, wolno Ci  przejechać przez zakreskowane pole?;;;;N;MM_D14_14_org.mp4;PODSTAWOWY;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
610;Zamierzasz zawrócić na tym skrzyżowaniu. Czy zajmujesz właściwy pas ruchu?;;;;T;MM_D14_15_org.mp4;PODSTAWOWY;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
612;Skręcasz w lewo na skrzyżowaniu. Czy po wjechaniu na jezdnię poprzeczną znaki poziome pozwalają Ci zająć pas ruchu przy prawej krawędzi jezdni?;;;;T;MM_D14_17_org.mp4;PODSTAWOWY;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
617;Czy w tym miejscu wolno Ci skręcić w lewo i wjechać na stację paliw?;;;;N;MM_D14_24_org.mp4;PODSTAWOWY;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
621;Czy widoczna linia złożona z trójkątów wskazuje Ci miejsce zatrzymania pojazdu w celu ustąpienia pierwszeństwa?;;;;T;MM_D14_29_org.mp4;PODSTAWOWY;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
